iso_code	a_10	b_5	c_5	d_na	e_5	a_20	b_10	c_10	d_na2	e_10	a_30	b_15	c_15	d_na3	e_15
PRT	-1	1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1
PRI	1	1	-1	0	-1	1	1	-1	0	-1	1	1	-1	0	-1
QAT	1	-1	-1	1	-1	1	-1	-1	1	-1	1	0	-1	1	-1
ROU	1	1	0	1	-1	1	1	0	1	-1	0	1	0	1	-1
RUS	1	-1	-1	0	0	1	-1	-1	0	0	1	-1	-1	0	0
RWA	-1	-1	-1	0	1	-1	-1	-1	0	1	-1	-1	-1	0	1
SAU	1	-1	-1	1	-1	1	-1	-1	1	-1	1	0	-1	1	-1
SRB	1	-1	-1	0	1	1	-1	-1	0	1	1	-1	-1	0	1
SRB	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1
SLE	1	1	1	0	-1	1	1	1	0	-1	1	1	1	0	-1
SGP	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1
SVK	-1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1
SVN	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
ZAF	-1	-1	1	0	1	-1	-1	1	0	1	0	-1	1	0	1
ESP	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
LKA	0	-1	1	1	1	0	-1	1	1	1	0	-1	1	1	1
CHE	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
THA	-1	1	0	1	-1	-1	1	0	1	-1	-1	1	0	1	-1
TTO	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
TUN	-1	0	-1	1	-1	-1	0	-1	1	-1	-1	0	-1	1	-1
TUR	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	0	-1	1	-1
UGA	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1
UKR	1	1	-1	1	-1	1	1	-1	1	-1	1	1	-1	1	-1
ARE	1	-1	0	1	1	1	-1	0	1	1	1	-1	0	1	1
GBR	1	-1	-1	1	-1	1	-1	-1	1	-1	1	0	-1	1	-1
USA	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0
UZB	1	-1	0	1	1	1	-1	0	1	1	1	-1	0	1	1
VNM	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
ZWE	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0
